recipe_name,description,ingredients,instructions,serving_yield,calories_per_serving_kcal,fat_per_serving_g,cholesterol_per_serving_mg,protein_per_serving_g,carbohydrate_per_serving_g,fiber_per_serving_g,sugar_per_serving_g,sodium_per_serving_mg,kalium_per_serving_mg,detail_url,image_url,health_category
Makaroni ayam,Enak bangetttt.,"100 gram dada ayam, 1 mangkok,masak makaroni, 1 mangkok saus spageti tanpa daging, 100 gram bawang bombay dimasak, 1 sdt bawang putih bubuk, 1 sejumput lada hitam, 1 sejumput garam laut, 1 sdm saus sambal, 1 siung bawang putih dimasak","Potong bawang putih (1 siung), bawang bombay setengah aja., Marinasi ayam dengan lada, bawang putih bubuk dan garam ayamnya di potong dadu ya., Tumis bawang putih dan bawang bombay., Masukkan ayam yang sudah dimarinasi., Beri sedikit air., Kemudian masukkan saus bolognese dan saus sambal 1 sendok., Kemudian masak hingga air menyusut., Tambah sedikit keju quick melt untuk hiasan aja sih hehe.",5,147.0,3.8,17.0,8.92,18.83,1.1,6.52,547.0,290.0,https://www.fatsecret.co.id/resep/makaroni-ayam/Default.aspx,https://m.ftscrt.com/static/recipe/cda3adda-d61a-4ebd-a789-dbef91527d25_sq.jpg,Healthy
Kwetiau Ayam,Hidangan ini benar-benar enak dan cepat dibuat di rumah.,"15 gram dada ayam, 2 gram bawang bombay dimasak, 1/2 sdt garam, 2 ml minyak goreng, 100 gram kwetiau, 1 sendok saus sambal, 2 sdm kecap manis","Panaskan minyak dalam wajan dan tumis bawang bombay., Masukkan ayam yg sudah di potong, lalu tumis sebentar., Tambahkan kwetiau dan bumbunya., Campur dengan baik. Angkat dari api setelah selesai. Tambahkan lauk yang diinginkan.",1,322.0,9.43,16.0,9.9,48.97,0.5,23.91,2387.0,163.0,https://www.fatsecret.co.id/resep/55542734-kwetiau-ayam/Default.aspx,https://m.ftscrt.com/static/recipe/9c82a46c-2cb2-4490-89ec-b134ef3d14ed_sq.jpg,Unhealthy
Ayam Teriyaki,Teriyaki ayam klasik yang begitu juicy dan lembut.,"300 gram dada ayam, 5 sdm cabai merah atau rawit, 1/4 siung bawang putih, 1 sdm minyak goreng, 18 g royco ayam, 40 ml saus teriyaki","Panaskan minyak tumis bawang putih., Masukan ayam dan air., Tambahkan royco, saus teriyaki, dan cabai dan tunggu hingga matang.",5,167.0,7.55,50.0,18.38,5.96,1.4,3.46,2148.0,253.0,https://www.fatsecret.co.id/resep/52894139-ayam-teriyaki/Default.aspx,https://m.ftscrt.com/static/recipe/f4ad1c91-34fa-4fae-ad98-3aa4aa52aa1c_sq.jpg,Unhealthy
Ayam Teriyaki,Teriyaki ayam yang gurih dan juicy.,"25 gram bawang bombay, 1 sejumput garam, 50 gram daging dada ayam (ayam pedaging, dipanggang, dimasak), 100 ml air, 1 sdm kecap manis, 15 g saus sambal, 1 jumput msg, 10 ml saori saus teriyaki","Dalam wajan panas dengan sedikit air, tumis bawang bombay dan cabai yang sudah dicincang., Tambahkan air dan potongan ayam ke dalam wajan. Aduk selama beberapa menit., Tambahkan semua bahan yang tersisa. Aduk rata dan pindahkan ke piring setelah matang.",1,204.0,2.78,42.0,15.89,26.2,0.4,20.62,2464.0,169.0,https://www.fatsecret.co.id/resep/57575462-ayam-teriyaki/Default.aspx,https://m.ftscrt.com/static/recipe/feb6715d-5000-42e8-8fe4-ad3e48859fab_sq.jpg,Unhealthy
Soto Ayam,Soto ayam tanpa santan.,"178 gram dada ayam rebus (kulit tidak dimakan), 200 gram kecambah, 2 gram ketumbar, 2 sdt kunyit, 1 sdt garam, 100 gram selada kol, 3 siung bawang putih, 1 sdt jahe, 1 mangkok daun bawang, 2 gram sereh, 2 gram kacang kemiri, 2 kecil bawang merah, 500 g mie basah matang, 1 sdm kecap manis, 2 g royco ayam, 3 g lada putih bubuk","Haluskan bawmer, bawput, jahe, kemiri, kunyit dan geprek laos dan sereh., Tumis bumbu halus tadi bersama dgn laos dan sereh yg sudah di geprek dan tambah duan salam dan daun jeruk., Setelah matang, masukan air dan air sisa rebusan ayam., Rebus ayam , tauge, mie shirataki Secara terpisah., Setelah air mendidih , masukan bumbu spt garam, lada bubuk, royko dan kecap manis 1sdm Setelah di rasa pas, matikan api kompor., Siapkan ayam suir, tauge, kol di iris , jeruk nipis , dan mi shirataki nya., Kalo mau pake sambel, tinggal haluskan rawit dan juga air kuah sotonya., Selesai.",6,121.0,1.91,24.0,10.64,16.25,5.2,4.27,658.0,213.0,https://www.fatsecret.co.id/resep/41299672-soto-ayam/Default.aspx,https://m.ftscrt.com/static/recipe/7c98f300-064c-4670-a8b9-27334f534f84_sq.jpg,Healthy
Ayam Brokoli Tumis,Makan siang sehat yang cepat dan mudah.,"80 gram dada ayam, 1 mangkok, segar, potongan batang brokoli dimasak (dari segar), 1 sejumput lada hitam, 1 sdt garam, 1 siung bawang putih, 20 g saus tiram, 1 sdm minyak goreng","Potong ayam dadu, lalu goreng ayam sampai kering., Tumis bawang putih, brokoli, dan masuk ayam., Tambah air, saus tiram, dan bumbu., Aduk sampai rata., Sajikan.",1,347.0,20.58,66.0,27.81,14.47,5.4,2.19,3652.0,674.0,https://www.fatsecret.co.id/resep/51706407-ayam-brokoli-tumis/Default.aspx,https://m.ftscrt.com/static/recipe/fc638dbc-f534-4535-b9ab-fdf561cfc0a1_sq.jpg,Unhealthy
Ayam Goreng Bumbu Kuning,Resep ayam juicy dan lezat dimasak dalam penggorengan udara.,"300 ml air, 25 g bumbu racik ayam goreng, 800 gram ayam","Bilas dan potong ayam., Masukkan air ke dalam panci, tambahkan bumbu ayam goreng dan didihkan., Masukkan potongan ayam, lalu masak dengan api kecil hingga empuk dan air menyusut., Goreng ayam di air fryer tanpa menggunakan minyak hingga matang.",4,486.0,26.98,174.0,54.14,2.5,0.0,0.0,1910.0,442.0,https://www.fatsecret.co.id/resep/57718759-ayam-goreng-bumbu-kuning/Default.aspx,https://m.ftscrt.com/static/recipe/1584852f-c454-4a74-bedd-5990048ad453_sq.jpg,Healthy
Sohun Goreng,Bihun goreng yang lezat dengan ayam dan tempe.,"100 gram dada ayam, 120 gram tomat, 240 gram kecambah, 80 gram sawi, 110 gram mentimun (dengan kulit), 18 gram bawang putih, 50 gram sohun, 60 gram tempe, 40 gram bawang merah, 1 sdm minyak goreng, 10 g bumbu racik nasi goreng","Rendam sohun dngn air panas 5 menit kemudian tiriskan., Iris bawang merah dan bawang putih. Kemudian potong dadu dada ayam dan tempe., Tumis bawang merah dan bawang putih sebentar. Kemudian masukkan dada ayam dan tempe., Masukkan toge dan sawi aduk2. Jngan lupa bumbu nasi goreng instannya ya Terakhir masukkan sohun nya tumis hingga matang., Sajikan dengan irisan mentimun dan tomat.",2,392.0,13.1,42.0,27.31,44.58,5.7,7.84,912.0,732.0,https://www.fatsecret.co.id/resep/42359765-sohun-goreng/Default.aspx,https://m.ftscrt.com/static/recipe/17dd0d3f-746c-4445-9b64-b7f37d23dc82_sq.jpg,Healthy
Oatmeal Goreng,Penganti nasi goreng.,"1 besar telur, 3 gram cabai merah atau rawit, 2 siung bawang putih, 10 gram selada air, 1 sedang wortel bayi, 3 kecil bawang merah, 1 sdm minyak goreng, 35 g instant oatmeal","Panaskan frypan, masukan minyak lalu tumis bawang merah, bawang putih, sama cabe., Setelah layu masukan telur tumis sampai mateng., Masukan wortel tumis sampai layu., Setelah layu masukkan oatmeal aduk sampai tercampur, tambahkan air sedikit agar dy bisa tercampur., Tambahkan selada air atau sayuran pilihan lainnya.",1,416.0,19.21,212.0,14.25,50.24,7.0,10.24,90.0,510.0,https://www.fatsecret.co.id/resep/56502870-oatmeal-goreng/Default.aspx,https://m.ftscrt.com/static/recipe/078b5fa4-cae2-45e1-8d65-d9e4fbba6dc3_sq.jpg,Healthy
Bakso di Soup,Sup bakso dengan kaldu jamur dan sayuran.,"200 gram daging sapi giling, 100 gram kecambah, 1 sdt bawang putih bubuk, 1 sejumput lada hitam, 10 gram cabai merah atau rawit, 1 sdt garam, 2 siung bawang putih, 20 gram daun bawang, 300 gram tahu kukus, 100 gram pakcoy, 50 g tepung tapioka, 40 gram bawang bombay, 5 gram kaldu jamur","Buat adonan bakso dengan cara campurkan tapioka, daging sapi giling, bombay dan bubuk bawang putih serta lada garam. Aduk hingga rata. Dan bulatkan dengan tangan satu per satu. Masukan satu per satu ke dalam air mendidih., Cincang bawang putih dan daun bawang. Masukan ke dalam kuah. Serta lada garam dan kaldu jamur., Rebus sayur pokcoy dan toge dalam panci terpisah., Tunggu hingga bakso matang dan mengapung ke atas. Masukan tahu. Tunggu sampai smua matang. Sajikan bersama toge dan pokcoy rebus sera tambahkan cabai rawit jika suka.",4,242.0,13.64,44.0,20.65,9.99,1.8,4.38,851.0,399.0,https://www.fatsecret.co.id/resep/45631599-bakso-di-soup/Default.aspx,https://m.ftscrt.com/static/recipe/30d324ca-bd61-488c-a2e0-7b1b9c075890_sq.jpg,Healthy
Bakso Ayam Oat,Makanan ramah anggaran dan sehat.,"200 gram dada ayam (kulit tidak dimakan), 1 besar telur, 1 sdt garam, 3 siung bawang putih, 5 gram daun bawang, 1 kecil bawang merah, 52.5 g instant oatmeal, 10 g tepung pati jagung, 10 g kaldu jamur, 3 g lada putih bubuk, 1 sdm saos tiram, 1/2 sdm minyak kelapa","Goreng bawang merah dg minyak kelapa hingga kering., Campur semua bahan dalam blender kecuali daun bawang. Tambahkan daun bawang dan bawang goreng., Rebus air hingga mendidih,kecilkan kompor. Masukkan bakso bentuk sesuai selera., Didihkan kembali rebus selama 10 menit, hingga bakso mengambang., Sajikan bisa di sup/dibakar.",4,197.0,6.18,95.0,19.25,15.26,1.4,1.17,908.0,183.0,https://www.fatsecret.co.id/resep/60882074-bakso-ayam-oat/Default.aspx,https://m.ftscrt.com/static/recipe/7115392f-0cb2-45cc-a831-47c62885c2ba_sq.jpg,Healthy
Sup Baso Ikan,Bola ikan super lezat dan sup sayuran.,"7 1/2 gram kaldu jamur, 1 sdt garam, 1 gram minyak wijen, 2 gram daun bawang, 20 gram sawi putih, 1 gelas air, 117 gram bakso ikan, 20 gram sawi hijau","Siapkan bahan, masak air sampai mendidih., Tambhan minyak wijen, kaldu dan garam, cicipi rasa., Masukan baso, tekakhir masukan sayuran, siapkan wadah.",2,70.0,1.26,31.0,6.9,7.47,0.4,0.24,1371.0,170.0,https://www.fatsecret.co.id/resep/40571575-sup-baso-ikan/Default.aspx,https://m.ftscrt.com/static/recipe/8580b817-a7ad-40a4-b539-36a66c272e7f_sq.jpg,Unhealthy
Tumis Udang dan Bakso,Hidangan bergizi untuk makan siang.,"80 gram udang, 118 gram wortel, 120 gram kembang kol, 1 siung bawang putih, 30 gram bakso daging sapi, 30 gram bakso ayam, 3 g lada putih bubuk, 2 sdm saos tiram, 5 gram cabai merah besar","Cuci udang dan kupas. Potong sayuran., Tumis bawang putih di wajan yang sudah diolesi sedikit minyak sampai harum lalu tambahkan saus tiram., Masukkan udang, bakso, dan sayuran., Bumbui dan didihkan sampai matang.",2,164.0,3.98,106.0,17.68,14.18,3.4,5.68,732.0,526.0,https://www.fatsecret.co.id/resep/57882331-tumis-udang-dan-bakso/Default.aspx,https://m.ftscrt.com/static/recipe/47cd050c-b42e-43f7-9fa5-1ca1a92c18cd_sq.jpg,Healthy
Mapo Tofu,Mapo tofu ala korea.,"1 sdm soy sauce, 2 tbsps olive oil, 4 siung garlic, 1/2 sedang onions, 200 gram tempeh (cooked), 100 g jamur enoki, 65 g bakso daging sapi, 2 sdm gochujang, 200 g tahu original","Tumis bawang putih dan bawang bombay., Masukan tempe dan bakso., Masukan gochujang dan kecap., Tambahkan air dan garam, tunggu sampai mendidih dan reduced., Masukan tahu, masak kurang lebih 2 menit.",4,261.0,16.34,0.0,18.16,12.61,1.0,2.18,699.0,241.0,https://www.fatsecret.co.id/resep/50601681-mapo-tofu/Default.aspx,https://m.ftscrt.com/static/recipe/7a17db21-c70a-4541-9dea-303b818be069_sq.jpg,Healthy
Bakso dan Sup Telur,"Sup kaya dengan telur, tahu sutra, dan bakso.","1/2 slice soft silken tofu, 45 g bakso sapi, 250 ml air mineral, 50 g fish roll, 40 g telur ayam kampung, 48 g crab stick","Didihkan air., Setelah didih masukan telur., Lalu di aduk sebentar dan masukan semua bahan., Tambahkan sedikit penyedap,gula,bawang putih bubuk,dan lada hitam.",1,362.0,14.38,0.0,30.02,27.84,0.0,3.55,1360.0,76.0,https://www.fatsecret.co.id/resep/47903138-bakso-dan-sup-telur/Default.aspx,https://m.ftscrt.com/static/recipe/b77c8c64-ae8f-42e6-9fa3-6f8ac208ed92_sq.jpg,Healthy
Bakwan Sayur Teflon,Bakwan sayur versi sehat.,"30 gram kecambah, 22 gram wortel, 3 gram seledri, 7 gram daun bawang, 55 ml air, 1 sdm extra virgin olive oil, 40 g tepung bakwan","Potong2 wortel, seledri n daun bawang., Masukan kecambah, wortel, air dan tepung bakwan. Aduk rata dan bumbui dengan garam dan merica., Beri teflon minyak zaitun. Panaskan minyak (jangan sampai terlalu panas)., Goreng hingga matang.",1,216.0,6.72,0.0,4.4,34.6,1.4,1.87,21.0,123.0,https://www.fatsecret.co.id/resep/54135353-bakwan-sayur-teflon/Default.aspx,https://m.ftscrt.com/static/recipe/4ff4bdff-e88a-4227-a320-5ca04e4e25d2_sq.jpg,Healthy
Bihun dengan Sayuran,"Hidangan sederhana, rendah kalori.","60 gram carrots, 60 gram broccoli (with salt, drained, cooked, boiled), 55 g bihun rasa ayam bawang","Masak mie sesuai petunjuk kemasan., Rebus sayuran selama 5 menit., Campur mie dan sayuran, bumbui sesuai keinginan, dan sajikan.",1,242.0,3.85,0.0,4.35,47.79,3.7,4.55,888.0,368.0,https://www.fatsecret.co.id/resep/63199942-bihun-dengan-sayuran/Default.aspx,https://m.ftscrt.com/static/recipe/60ce6f52-6fd4-4057-941c-b96adbcfd67c_sq.jpg,Unhealthy
Bihun Rebus,Bihun rebus dengan sawi.,"1 sdm cabai merah atau rawit, 1 sdt garam, 2 siung bawang putih, 1 gelas air, 1 porsi bawang merah, 2,75 ml minyak jagung, 60 g bihun jagung, 2 g royco ayam, 3 g lada putih bubuk, 40 gram sawi hijau","Rebus bihun setengah matang dengan sedikit minyak., Cuci dan potong bawang merah, bawang putih, cabai rawit, sawi hijau, dan seledri., Oseng bawang merah, bawang putih, dan cabai rawit dengan sedikit minyak cco., Tambahkan air secukupnya., Bila sudah mendidih masukkan sawi hijau, dan seledri. Setelah 1 menit masukkan bihun yang sudah setengah matang., Masukkan bumbu : garam, lada, dan royco secukupnya. Hidangkan.",2,186.0,1.77,0.0,1.38,31.14,2.0,0.84,1460.0,126.0,https://www.fatsecret.co.id/resep/51264310-bihun-rebus/Default.aspx,https://m.ftscrt.com/static/recipe/ac94cf7f-b1fe-491a-8e5e-0750d86273e0_sq.jpg,Unhealthy
Bihun Jamur,Mie ini luar biasa ringan dan beraroma tinggi.,"1 besar egg, 50 gram cooked spinach (from fresh), 5 gram garlic, 50 gram shiitake mushrooms (stir-fried), 100 gram vermicelli, 50 gram chicken sausage, 1 sdm kecap manis, 1.5 g kaldu rasa jamur, 1 sdm kecap asin","Tumis bawang putih., Masukkan sosis, jamur. Angkat., Orek telor, angkat., Tumis bayam, angkat., Rebus bihun, tiriskan., Tumis bihun, masukkan kecap asin, kecap manis, dan kaldu jamur Masukkan sosis, jamur, telor, bayam., Masukkan sosis, jamur, telor, bayam., Bumbui dengan garam dan merica sesuai selera.",1,433.0,12.2,252.0,25.45,55.15,4.8,14.35,2400.0,637.0,https://www.fatsecret.co.id/resep/53228076-bihun-jamur/Default.aspx,https://m.ftscrt.com/static/recipe/6ba736b9-e389-425f-8ec0-3c22d551956b_sq.jpg,Healthy
Spring Roll,Lumpia Udang dan Sayuran Buatan Sendiri.,"1/4 besar telur goreng, 1/2 besar utuh tomat, 1 sdm mayones, 50 gram wortel, 50 gram kembang kol, 50 gram selada daun hijau, 1/4 mangkok bihun (dimasak), 1 sdm roasted sesame dressing, 3 kecil rice paper, 4 kecil udang kukus atau rebus","Siapkan bahan bahan isian., Rendam beberapa detik rice paper dalam air hangat., Bungkus semua bahan dalam rice paper., Untuk dressing : Campur salad dressing toasted sesame (kewpie) dengan mayonais., Spring roll siap disajikan.",1,332.0,12.7,88.0,10.17,43.24,5.1,9.34,567.0,684.0,https://www.fatsecret.co.id/resep/41820279-spring-roll/Default.aspx,https://m.ftscrt.com/static/recipe/e98a016b-1bf7-4053-aeed-74fdb2746a74_sq.jpg,Healthy
Spring Roll Ayam,Makanan pembuka yang menyegarkan dengan sayuran renyah berwarna-warni.,"1 sedang rice paper, 10 gram daging dada ayam (ayam pedaging, dipanggang, dimasak), 10 gram wortel, 10 gram mentimun (dengan kulit), 15 gram bihun (dimasak), 8 ml roasted sesame dressing","Rebus bihun, tiriskan., Potong sayur., Celup rice paper 2 detik di air., Siapkan dan gulung kertas nasi dengan bihun, ayam dan sayuran di dalamnya. Gunakan saus wijen sebagai saus.",1,119.0,3.09,8.0,4.11,16.86,0.8,1.66,149.0,83.0,https://www.fatsecret.co.id/resep/57485021-spring-roll-ayam/Default.aspx,https://m.ftscrt.com/static/recipe/eb63a2e9-07c5-4670-9ddd-3f5e668eb6d6_sq.jpg,Healthy
Sup Labu Telur,Sup labu dengan telur dan tahu.,"2 sedang telur, 1 sdt garam, 2 siung bawang putih, 160 gram labu, 1 gelas air, 5 ml minyak goreng, 40 gram tahu, 15 g bihun jagung, 4 g bumbu penyedap rasa sapi","Rebus bihun hingga matang, sisihkan., Kupas dan bersihkan labu potong dadu, sisihkan., Tumis bawang putih, masukkan telur dan aduk hingga matang., Tambahkan air, masukkan lahu dan tahu.",2,166.0,7.74,186.0,8.24,14.08,0.8,2.04,1292.0,366.0,https://www.fatsecret.co.id/resep/51316335-sup-labu-telur/Default.aspx,https://m.ftscrt.com/static/recipe/a25ba145-6369-44ac-862d-09b10f851181_sq.jpg,Healthy
Capcay,Hidangan cepat dan mudah dengan sosis dan sawi.,"1 besar telur, 1 sdm cabai merah atau rawit, 1 mangkok, dicincang sawi, 3 siung bawang putih, 2 kecil bawang merah, 1 sdm kecap manis, 50 g sosis sapi, 9 g saus sambal","Tumis bawang putih, bawang merah, dan cabai hingga harum., Tuang air secukupnya tunggu sampai mendidih., Masukkan sawi, sosis, dan telur., Tambahkan garam, lada, kecap secukupnya., Tunggu hingga matang.",1,363.0,12.39,212.0,17.07,47.46,4.9,21.28,1144.0,473.0,https://www.fatsecret.co.id/resep/42604554-capcay/Default.aspx,https://m.ftscrt.com/static/recipe/22db4992-c520-417a-abaf-397d6bd88f2b_sq.jpg,Healthy
Capcay Ayam Kuah tanpa Minyak,Hidangan sehat cepat dengan ayam dan sayuran.,"80 gram dada ayam (kulit tidak dimakan), 10 gram tomat, 1 sdt garam, 1/2 sdm saus tiram, 40 gram wortel, 40 gram kembang kol, 1 siung bawang putih, 40 gram sawi putih, 10 gram bawang bombay, 40 gram sawi hijau, 1,5 g kaldu rasa jamur","Cuci sayuran dan ayam., Geprak bawang putih hingga halus., Tumis bawang putih dan bombay dan wortel di teflon  tanpa minyak., Masukan air secukupnya,., Jika sudah mendidih masukan bumbu sesuai selera (garam,saus tiram,kaldu jamur)., Masukan ayam masak hingga matang,., Masukan sayuran., Koreksi rasa , selesai.",2,91.0,1.6,34.0,13.65,5.52,1.4,1.98,1660.0,322.0,https://www.fatsecret.co.id/resep/43283926-capcay-ayam-kuah-tanpa-minyak/Default.aspx,https://m.ftscrt.com/static/recipe/ba7e96e2-8277-4905-b4a8-bb56214373dd_sq.jpg,Unhealthy
Capcay Toge,Sama-sama gurih dan manis.,"50 gram kacang panjang hijau, 1 tongkol/bonggol besar jagung, 1 sejumput garam, 50 gram wortel, 500 ml air, 1 sdt gula pasir, 1 kecil bawang merah, 100 g sayur toge, 3 g royco ayam, 10 ml minyak goreng","Tumis bawang merah yang sudah diiris-iris dengan minyak panas., Lalu masukkan wortel,toge, jagung, dan kacang panjang. Tambahkan air sekitar 500 ml., Lalu tambahkan bumbu-bumbu penyebab seperti garam, gula dan royco (sesuai selera)., Lalu tunggu air menyusut menjadi setengah., Setelah itu siap dihidangkan.",2,200.0,5.51,0.0,20.3,23.42,4.0,7.38,532.0,376.0,https://www.fatsecret.co.id/resep/52690697-capcay-toge/Default.aspx,https://m.ftscrt.com/static/recipe/7b071d87-c929-4812-91ad-b54eca1796d9_sq.jpg,Healthy
